"Plot","plot.stratum","Code","trunk","tree.ID","Lianas.n","dw.number","dw.percent","height","Block","Forest","Caco","elevation","slope.var"
"KP1-S1","KP1-S1 CA","KP1-S1-A1-CA",34.0591578216656,"T641",0,1,5,18,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-A2-CA",28.3295798703574,"T642",0,1,5,22,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-A3-CA",28.3295798703574,"T642",0,1,5,11,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-A4-CA",29.6028194150925,"T644",4,2,5,19,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-A1-UN",8.27605704077856,"T645",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-A2-UN",10.5042262440651,"T646",2,0,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-A3-UN",10.1859163578813,"T647",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-A4-UN",9.23098669932993,"T648",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-B1-CA",14.0056349920868,"T649",2,0,5,13,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-B2-CA",20.3718327157626,"T650",2,1,5,11,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-B3-CA",28.3295798703574,"T642",0,1,5,15,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 CA","KP1-S1-B4-CA",29.6028194150925,"T644",1,0,5,13,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-B1-UN",10.5042262440651,"T653",4,0,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
"KP1-S1","KP1-S1 UN","KP1-S1-B2-UN",9.54929658551372,"T654",0,1,5,1.5,"KP1","Kausi Primary",59.99,219,10.75
